Type Heuristic:KI, Dataset: ogbl-collab
5	0	0.9575719987422028
5	1	0.4801042289393848
5	2	0.22620608624185193
5	3	0.09993147596753471
5	4	0.03583402217334888
5	5	0.0034142250699520623
5	6	-0.013259362084416793
5	7	-0.021948510166359018
5	8	-0.02663025816396025
5	9	-0.029263095362631383
5	10	-0.03084864643077497
5	11	-0.03188373056487995
5	12	-0.03262434169407231
5	13	-0.03319899804054134
5	14	-0.033675460386231496
5	15	-0.03408877906878264
Type Heuristic:KI, Dataset: ogbl-collab
800	0	0.20558610766614757
800	1	0.07878829243007737
800	2	0.43268159464743694
800	3	0.22025300139862605
800	4	0.20133563894948633
800	5	0.142502167751421
800	6	0.10496602328141935
800	7	0.06372490556640756
800	8	0.024173016964604898
800	9	-0.016496446430648976
800	10	-0.05760547801310725
800	11	-0.09922103652734252
800	12	-0.14111212645003382
800	13	-0.1830631566859594
800	14	-0.22493670824293416
800	15	-0.2665609993736263
Type Heuristic:KI, Dataset: ogbl-ddi
500	0	0.14408924027829614
500	1	0.31446097153133096
500	2	1.4098444140402129
500	3	0.07715730396504365
500	4	0.0891147317207301
500	5	-0.058563886586233585
500	6	-0.07492290576954792
500	7	-0.09920916161493094
500	8	-0.10471773691324247
500	9	-0.10941464508634818
500	10	-0.11065437908621448
500	11	-0.11140030647081488
500	12	-0.11143047712441678
500	13	-0.11132358525894624
500	14	-0.11108144794958055
500	15	-0.1108277241581268
